CartNumber;DateMonth;DateYear;CVV
200012345678901;12;22;134
20001234567890100;12;22;134
400012345678901;12;22;134
40001234567890100;12;22;134
500012345678901;12;22;134
50001234567890100;12;22;134
2000123456789010;12;22;13
4000123456789010;12;22;13
5000123456789010;12;22;13
2000123456789010;12;22;1345
4000123456789010;12;22;1345
5000123456789010;12;22;1345
2000123456789010;0;22;134
4000123456789010;0;22;134
5000123456789010;0;22;134
2000123456789010;13;22;134
4000123456789010;13;22;134
5000123456789010;13;22;134
2000123456789010;12;5;134
4000123456789010;12;5;134
5000123456789010;12;5;134
2000123456789010;12;288;134
4000123456789010;12;288;134
5000123456789010;12;288;134
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
